judul_film,ringkasan_sinopsis,genre
Langit biru,"Biru, Amanda, dan Tomtim tiga sahabat dari kecil yang sama-sama duduk di kelas 1 SMP dan tinggal berdekatan dalam satu kompleks perumahan. Biru, anak tunggal dari Daniel, yang berprofesi sebagai pilot. Biru adalah anak yang mandiri, aktif, cantik, agak tomboy, pintar, namun agak emosional. Sang mama meninggal ketika Biru berusia 7 tahun. Jadwal terbang yang padat menyebabkan hubungan dan komunikasi antara Daniel dan Biru menjadi tidak mulus, ditambah lagi Daniel agak clueless mengenai cara menghadapi anaknya yang beranjak remaja. Amanda, adalah anak pertama dari pasangan Henry dan Julie, dengan seorang adik bernama Brandon. Keluarga ini harmonis dan bahagia dengan keunikannya masing-masing. Julie, sang mama, sangat involve dengan kehidupan kedua anaknya, sehingga kadang-kadang bisa terkesan cerewet namun lucu. Amanda adalah anak yang cantik, manis, lembut tetapi juga aktif. Adiknya Brandon sangat jago nge-dance meskipun masih kecil. Rumah mereka adalah tempat berkumpulnya anak-anak untuk belajar dan bermain bersama karena suasana yang selalu hangat dan hidup ada di rumah ini. Tomtim, yang badannya paling besar di antara mereka bertiga karena secara usia sebenarnya Tomtim lebih tua (pernah tinggal kelas) adalah anak tunggal dari Mama Rita yang memiliki keterbatasan atau learning difficulties. Keadaan Tomtim yang istimewa ini membuatnya seringkali menjadi target sasaran beberapa anak nakal di sekolah. Bruno, adalah salah satu anak yang suka nge-bully Tomtim di sekolah bersama dengan ganknya yaitu Jason, Samuel, dan Erlangga. Konflik memuncak karena kekesalan Biru cs atas prilaku bully Bruno cs yang tidak pernah tertangkap basah oleh guru. Akhirnya mereka merancang sebuah misi khusus untuk mengungkap kenakalan Bruno cs. Tetapi ternyata fakta yang mereka kumpulkan mengarahkan mereka kepada suatu kenyataan yang lain",Komedi
Sule Detektif Tokek,Sule detektif tokek berceritakan tentang aksi detektif yang dilakukan oleh sule yang berprofesi sebagai detektif paruh waktu yang memiliki motto “apa yang lu mau gue bisa! ”. Sebelumnya ia telah berhasil menangkap pelaku kejahatan yang beraksi di pasar modern dengan menyamar sebagai ibu-ibu yang berbelanja sayuran. Di luar profesinya sebagai detektif paruh waktu sule hanya orang biasa yang hidup bersama anak (rizki sule) dan ibunya (mpok nori).,Komedi
Cek Toko Sebelah,Tepat ketika semuanya berjalan dengan baik untuk Erwin ayahnya jatuh sakit dan memintanya untuk meninggalkan segalanya dan membantu di toko keluarga yang mengecewakan Yohan kakak laki-lakinya yang tidak bertanggung jawab.,Komedi
Comic 8: Casino Kings Part 2,"Delapan agen rahasia (Arie Kriting Babe Cabiita Bintang Bete Ernest Prakasa Fico Fachriza Ge Pamungkas Kemal Palevi Mongol) yang mengadopsi kode nama COMIC 8 kembali beraksi. Mereka dituntun ke dalam perangkap oleh THE KING ( Sophia Latjuba) dan pasukannya dipimpin oleh Isa (Donny Alamsyah) dan Bella (Hannah Al Rashid) dan seorang co-konspirator bernama Dr. Pandji (Pandji Pragiwaksono). Agen rahasia kami harus bertaruh pada kehidupan mereka dalam skema perjudian online terbesar di dunia yang pemainnya termasuk penjudi terkenal dari seluruh dunia. Delapan dari mereka harus melewati setiap tingkat yang mengancam jiwa bersama-sama menghadapi skuad pembunuh bernama The Hunters (Barry Prima George Rudy Lidya Kandou Willy Dozan Soleh Solihun Sacha Stevenson) yang terus memburu mereka untuk mengakhiri hidup mereka. Mereka juga harus menghadapi Master of Martial Arts The Ghost (Yayan Ruhian) yang muncul kembali ke dunia hanya untuk menghilangkan Babe Cabiita. Pada saat yang sama Indro Warkop yang dicari oleh Agen Interpol bernama Chintya (Prisia Nasution) juga terjebak dalam skema Perjudian Online di pulau tersembunyi dengan Penjaga Keamanan (Ence Bagus) yang muncul di waktu dan tempat yang salah. Chintya Indro dan Penjaga Keamanan harus berjuang untuk kelangsungan hidup mereka melawan pejuang tangguh di Kandang Berjuang. Serangkaian acara lucu akan menggelitik Anda saat para pahlawan kami bertempur dalam perjalanan menemukan dan menangkap Sang Raja dan setiap putaran akan membuat Anda tetap berada di tepi kursi saat Anda mengikuti petualangan para agen ini. Sekuel ini Komik 8: ""Kasino Kings Bagian 2"" akan meniup pikiran Anda. Membuat akting cemerlang yang berkesan dalam film penuh aksi penuh tawa adalah Nikita Mirzani Agung Hercules Agus Kuncoro Candil Gandhi Fernando Cak Lontong Joe P Project Boy William Ray Sahetapy dan Bagus Netral.",Komedi
Kulari ke Pantai,Sam (10th) si anak pantai asal Rote-NTT beserta Ibunya Uci akan melakukan perjalanan dara berdua saja. Rencana perjalanan adalah dari Jakarta dengan tujuan akhir Banyuwangi untuk menemui surfer idola Sam di pantai G-Land. Namun sehari sebelum keberangkatan sepupu Sam Happy (12th) yang sangat berbeda dengan Sam berulah saat kumpul keluarga di Jakarta. Di hadapan banyak orang Happy merendahkan Sam. Ibu Happy Kirana meminta Happy ikut dalam perjalanan Sam dan Uci dengan harapan ia bisa mengenal & menghargai sepupunya lebih baik. Perbedaan keduanya membuat perjalanan darat dengan mobil menjadi penuh tantangan dan tidak sesuai rencana. Berbagai situasi tak terduga muncul dan berbagai karakter unik dan lucu mereka temui dalam perjalanan.,Komedi
Suami Untuk Mak,Sarah (Lydia Kandou) mempunyai lima orang anak dari suami yang berbeda-beda: Adul (Cemen) Gilbert (Raim Laode) Koko (Edric Tjandra) Billy (Billy Syahputra) dan Bontot (Bontot). Kelima bersaudara ini mempunyai ciri fisik dan sifat berbeda-beda sesuai dengan latar belakang bapak mereka: Betawi Ambon Cina Jawa dan juga agama. Tidak berapa lama lagi Sarah ulang tahun. Lima bersaudara ini berlomba ingin memberikan kado istimewa untuk Mak mereka. Melalui diskusi dan perdebatan yang seru akhirnya tercetuslah sebuah kado istimewa untuk Sarah yaitu Suami untuk Mak.,Komedi
DOA (Doyok-Otoy-Ali Oncom): Cari Jodoh,"Doyok (Fedi Nuril), Otoy (Pandji Pragiwaksono), Ali Oncom (Dwi Sasono) adalah tiga sosok manusia yang berbeda latar belakang namun punya kesamaan nasib di kerasnya kehidupan Ibukota: nasib sial. Doyok yang lugu, naïf, jujur, identik dengan surjan-blangkon, dan bokek ini punya cita-cita selangit: ingin jadi anggota legislative. Otoy adalah seorang suami, pengangguran, dan takut istri. Ia selalu mempunyai akal untuk terus ‘ngerjain” istri dan mertuanya demi keuntungan dirinya. Ali Oncom, playboy kampung, punya gaya selangit. Profesinya adalah tukang ojek part time dan pemburu janda. Persamaan nasiblah yang membuat mereka bersahabat … Otoy dan Ali Oncom mengingatkan Doyok untuk segera mencari jodoh. Doyok tidak perduli, namun malam harinya bermimpi bertemu almarhum ibunya yang mengingatkannya untuk menikah. Doyok menyambut baik tawaran Otoy dan Ali Oncom mencarikan jodoh untuknya: kencan buta melalui media sosial dengan Ayu (Laura Basuki), dan pencomblangan dengan Suci (Titi Kamal) pegawai kelurahan. Mereka terbawa ke berbagai petualangan yang awalnya lucu, kemudian terjebak dalam situasi sulit yang tidak pernah mereka alami.",Komedi
Anda puas saya loyo,Anda puas saya loyo mengisahkan tentang sebuah keluarga terpandang yang tinggal di sebuah kampung. Keluarga tersebut menjadi terpandang karena kemampuan finansial yang mereka miliki. Keluarga tersebut terdiri dari kepala keluarganya yaitu pak wagiman (mastur) dan kedua anaknya. Mereka adalah inem (yeyen) dan tarjin (bedu). Konflik dimulai ketika pak wagiman tengah bingung untuk mencarikan jodoh untuk anak sulungnya yaitu inem. Di usianya yang sudah dewasa ternyata inem belum memiliki pasangan yang nantinya bisa menjadi suaminya untuknya. Kemudian pak wagiman memutuskan untuk menjodohkan inem dengan anak dari keluarga dono (dudung hayo). Awalnya inem mau saja mengikuti perintah ayahnya untuk dijodohkan. Ia merasa inilah waktunya untuk berbakti kepada ayahnya lagipula ia merasa sudah siap untuk naik pelaminan. Namun ketika hari pernikahan sudah dekat ternyata inem sudah tidak bisa membohongi dirinya sendiri. Ia tidak mencintai pria yang akan menjadi suaminya tersebut. Hal itu membuat pernikahan yang sudah di depan mata menjadi berantakan. Akhirnya inem memutuskan untuk meninggalkan kampungnya untuk pergi ke jakarta. Ternyata di jakarta inem bertemu dengan sahabatnya yaitu susy (boby tince). Kemudian mereka berdua sepakat untuk tinggal di rumah paman baggio (untung blancon). Ternyata di tempat tersebut mereka juga tinggal dengan teman-teman mereka yang lain. Seperti wisnu (sandy tumiwa) dan rendra (ryan sehan).,Komedi
Asoy geboy,Asep (Rizky Mocil) Hilman (Aa Jimmy) dan Didi (Raffi Ahmad) adalah anak kampung dari desa Semilir Angin ke Jakarta untuk kuliah dan meraih gelar Sarjana. Keberangkatan mereka didoakan oleh seluruh warga kampung yang menaruh harapan besar buat mereka supaya bisa memperbaiki nasib desa. Di Jakarta mereka tinggal di rumah besar milik paman Didi yang ternyata bertetangga dengan asrama stripper yang berkedok asrama Tur dan travel. Salma (Uli Auliani) Lolyta (Indah Kalalo) dan Memey (Allya Rossa) adalah stripper penghuni asrama. Memey kini sedang hamil muda tanpa suami sementara Salma dan Lolyta sedang mencarikan Memey lelaki yang bisa mereka jerat hingga mereka menemukan Asep. Asep kemudian dituduh telah menghamili Memey Asep pun tidak berkutik. Sementara itu Lolyta semakin dekat dengan Didi dan Hilman semakin dekat dengan Salma.,Komedi
Baco Becce,Dengan berbekal foto ibunya yang hanya kaki saja Baco berusaha memenuhi wasiat ayahnya sebelum wafat untuk segera menemukan ibunya Becce. Dalam pencariannya Baco bertemu dengan orang-orang yang tak biasa: dukun yang tiba-tiba insyaf preman terminal hingga maling kelas kampong. Semuanya diajaknya ikut menemukan ibunya. Di tengah perjalanan ketiga teman Baco jatuh cinta pada seorang gadis bernama Coba yang membuat mereka lupa akan tujuan menemukan ibu Baco. Pencarian semakin kacau karena Baco pun jatuh cinta dengan gadis yang bernama sama dengan ibunya: Becce.,Komedi
Badut-badut Kota,Dedi (Dede Yusuf) kawin muda dengan Menul (Ayu Azhari) hingga harus hidup mandiri dengan bekerja sebagai badut di sebuah taman hiburan. Pekerjaan ini tidak bisa mencukupi kebutuhan hidupnya hingga ia bersama beberapa kawan mencoba lepas dari jerat kemiskinan itu. Kesempatan datang ketika ia menemukan dompet seorang kaya yang kemudian memberi modal membuka warung dan lalu rumah makan. Bila dalam jalur kisah ini sutradara mencoba menggambarkan kehidupan rakyat kecil berikut uneg-unegnya maka pada kisah sampingannya tentang suami-istri Chairul Raya sutradara film ia mencibir perfilman Indonesia. Film merupakan campuran keharuan dan kelucuan.,Komedi
Balik Jakarta,Seorang turis Jerman yang marah-marah dengan bantuan seorang pengemudi ojek mencari rumah masa kecilnya di Jakarta dengan foto lama sebagai satu-satunya petunjuk.,Komedi
Basahhh...,Basahhh… mengisahkan tentang persahabatan yang terjalin antar empat remaja cowok yang baru menginjak bangku smp. Mereka adalah dimas (irshadi bagas) ojan (sakurta ginting) didot (esa sigit) dan alvin (kevin julio chandra). Layaknya remaja-remaja lain di usia mereka yang tengah penasaran dengan berbagai hal dan ingin mencari tahu lebih banyak. Hal yang sama juga terjadi kepada keempat sahabat tersebut. Terutama tentang masalah perempuan di usia mereka. Namun ternyata diantara mereka berempat sering terjadi obrolan yang tidak nyambung tentang masalah perempuan gara-garanya didot belum pernah mengalami mimpi basah. Padahal ketiga temannya yang lain sudah pernah mengalami mimpi basah semua. Hal tersebut sering kali membuat didot menjadi bahan ejekan dari semua teman-temannya. Karena ia dianggap belum dewasa jika belum pernah mengalami mimpi basah. Didot juga sering merasa malu karena dalam lingkaran persahabatannya hanya dialah yang belum pernah mimpi basah. Namun didot tidak bisa melakukan apapun karena dia tidak pernah tahu bagaimana cara agar bisa mimpi basah. Karena ingin membantu didot ketiga temannya yang lain memutuskan untuk membantunya agar bisa mimpi basah. Akhirnya mereka sepakat untuk mengajak didot untuk melihat tim bola voli cewek yang merupakan tim bola voli terkenal di sekolah mereka.,Komedi
Berangkat!,"Jano (Tarra Budiman) adalah mahasiswa Teknik Kimia yang menghabiskan waktu luangnya sebagai pekerja ""paruh waktu"" & rdquo; Di toko musik Aksara. Sejak kecil Jano sering menghadapi kendala dalam bersosialisasi itulah sebabnya hingga usia Jano 22 tahun masih sering di ""bully"" tapi Jano selalu memiliki Joana (Ayushita Nugraha) dan Dika (Ringgo Agus Rahman) yang selalu menemani Jano Jano merasa kecil . Jano jatuh cinta dengan salah satu pelanggan toko musiknya bernama Kayla (Annisa Pagih). Suatu hari Kayla datang ke Aksara dan meminta Jano untuk membantu memasang poster konser musiknya di Bali dan malah memberi Kayla tiga tiket untuk konser musik kepada Jano. Dika yang sibuk membantu Joana menyelesaikan penelitian geologisnya memaksa Jano untuk ikut membantu Joana tetapi Jano selalu menolak undangan Dika. Dengan tiket konser dari Kayla Jano akhirnya memutuskan untuk membantu Dika dan Joana mengingat bahwa setelah mengumpulkan data penelitian Joana di Kawah Ijen mereka dapat melanjutkan perjalanan ke Bali. Bersenjata dengan ...",Komedi
Berlian si Etty,Aladin (Rano Karno) karena suatu peristiwa telah memiliki lampu wasiat yang mukjizat. Sebab dengan menggosoknya ia bisa meminta dan menciptakan apa saja. Namun begitu Aladin dan ibunya Aminah (Marlia Hardy) tetap hidup sederhana. Pada suatu hari Aladin jatuh cinta dengan Puteri Permatasari (Lidya Kandou) yakni anak Raja Harun Al Rasyid (Doddy Sukma) yang memerintah negeri. Lamarannya telah mendapat hambatan dari Wazir Hussein (Sukarno M. Noor) berkali-kali. Terkecuali Aladin sanggup membuatkan satu istana megah dan sama bentuknya dengan istana kerajaan ini. Berkat lampu wasiat yang dihuni Jin Lampu (Jack John) Aladin berhasil memenuhi persyaratan itu. Wazir Hussein sagat gusar karena ini berarti telah menggagalkan usahanya untuk menjodohkan putranya Mustapha (Alan Suryaningrat) dengan Permatasari. Perkawinan Aladin dan Permatasari berlangsung meriah. Usaha Wazir Hussein dan puteranya Mustapha tak berhenti disini. Dengan bantuan Arzam (Hadisyam Tahax) seorang tukang sihir jahat bersama-sama melenyapkan kekuatan Aladin. Arzam adalah satu-satunya manusia yang mengetahui titik lemahnya. Sebab jauh sebelumnya hanya berkat “jasa-jasa” Arzamlah maka kin Aladin memiliki lentera kekuatan yang tak terperi. Dengan siasat Wazir Hussein Aladin berhasil disuruh pergi keluar kota dengan dikawal sepasukan berkuda di bawah pimpinan Mustapha. Tetapi di tengah jalan Aladin telah dipukul dan bangkainya dibuang ke tengah-tengah jurang. Sementara itu Wazir Hussein dan Arzam telah berhasil menipu sang puteri untuk menukar lampu wasian Aladin yang buruk dengan lampu-lampu terbuat dari emas dan permata.,Komedi
Betty Bencong Slebor,Betty (Benyamin Suaeb) diterima sebagai pembantu baru di keluarga Bokir (Bokir) yang merupakan produser rekaman. Selain Betty Nasir (Nasir) juga merupakan pembantu di keluarga itu. Istri Bokir (Aminah Cendrakasih) rupanya terlalu memberi kebebasan kepada mereka sehingga mereka sering keluar malam untuk mencari hiburan. Bahkan dalam suatu acara joget Betty pernah berduet dengan Elvi (Elvi Sukaesih). Hingga dalam suatu ketika Betty ikut ditangkap oleh Polisi saat ada razia prostitusi. Karena itu Betty dan Nasir akhirnya diberhentikan dari pekerjaannya. Mereka berdua kemudian mencoba untuk mengamen. Tidak sengaja mereka mengamen di rumah Elvi sehingga akhirnya mereka diterima bekerja sebagai pembantu rumah tangga di tempat Elvi. Bokir yang ternyata terpikat pada Elvi berusaha untuk menikahinya. Ia minta bantuan Mansur (Mansyur Syah) untuk mengatur pernikahannya. Mansur pun bersekongkol dengan Elvi untuk mengelabui Bokir. Betty diminta menggantikan Elvi saat pernikahan dan Elvi juga memberitahu istri Bokir. Akhirnya pesta pernikahannya pun bubar.,Komedi
Bisa naik bisa turun,"Tak banyak berbeda dengan film Warkop DKI yang lain, film ini juga merupakan gabungan berbagai penggalan lelucon, plus pameran wajah dan tubuh cantik. Mula-mula trio Warkop belajar jadi satpam, yang ternyata dikomandani oleh Diding (Diding Boneng) seorang pasien rumah sakit jiwa. Lalu mereka bekerja di sebuah perusahaan dengan menyamar jadi wanita, karena perusahaan itu hanya membutuhkan wanita. Semua perjalanan karier tadi berakhir dengan konyol.",Komedi
Bukaan 8,Alam dan Mia merupakan pasangan yang bertemu dan jatuh cinta di dunia maya namun hubungan mereka tidak direstui oleh keluarga Mia yang berpendapat bahwa Alam kerjanya hanya bermain sosmed dan tak punya pekerjaan tetap. Pada saat kelahiran anak pertama mereka Alam ingin membuktikan kepada Ambu dan Abah orangtua Mia bahwa ia adalah suami idaman. Alam berusaha agar Mia bisa melahirkan di rumah sakit terbaik. Sialnya uang yang sudah disiapkannya ternyata tidak cukup lantaran paket promo persalinan di rumah sakit tersebut sudah berakhir. Berbagai kekacauan kerap terjadi akibat kebohongan Alam ditambah dengan berbagai tuntutan keluarga besar Mia.,Komedi
Cakra,Cakra Buana adalah film drama musikal Sunda. Tidak hanya menceritakan tentang kehidupan Cakra Cakra Buana adalah cerita tentang perjalanan yang berliku dari roda kehidupan yang harus dilewati oleh manusia. Dan manusia tidak bisa menghindarinya.,Komedi
Cinlok,Stasiun tua yang unik dengan deretan kedai-kedai buat para pengunjungnya. Cundra (Tora Sudiro) seorang eksekutif muda dan Nayla (Luna Maya) manajer hotel bertemu di salah satu kedai. Cundra duluan yang membuka percakapan. Terungkap bahwa Nay sudah punya tunangan bernama Tyo (Tukul Arwana) seorang pengusaha. Begitu pula dengan Cundra. Nama tunangannya Tika (Ria Irawan) seorang desainer yang sedang naik daun. Kenyataannya adalah: mereka berdua berbohong tentang hidup mereka. Setelah pertemuan itu mereka berjanji untuk bertemu kembali dan kali ini mereka berdua harus memutar otak agar kebohongan mereka tidak terbongkar. Apakah mereka berhasil menutupi kebohongan mereka? Apakah Nayla dan Chundra akhirnya saling mencintai?,Komedi
Cinta Brontosaurus,Film ini bercerita tentang Dika seorang penulis yang baru saja putus dengan pacarnya Nina setelah lama menjalin hubungan. Sejak ia patah hati ia percaya bahwa hubungan pada akhirnya akan 'berakhir' dan akan berakhir. Sementara itu Kosasih agen menulis Dika berusaha meyakinkan Dika bahwa ada cinta sejati seperti Kosasih yang percaya pada cinta istrinya Wanda (Tyas Mirasih). Kosasih kemudian mencoba memperkenalkan Dika kepada beberapa gadis. Namun cinta bisa datang kapan saja. Dika bertemu Jessica seorang gadis yang memiliki pola pikir aneh yang sama seperti Dika. Semakin dekat Dika ke Jessica semakin dia bertanya 'Bisakah cinta benar-benar berakhir?'.,Komedi
Cinta Dalam Kardus,Miko seorang cowok yang canggung ingin mencoba stand-up comedy untuk melupakan problemnya dengan kekasihnya Putri. Namun ketika di atas panggung Miko malah menceritakan barang-barang peninggalan 21 mantan kekasihnya yang dia simpan di dalam kardus. Seiring dengan dia menceritakan barang-barang tersebut Miko belajar sesuatu yang penting tentang cinta.,Komedi
Cintapuccino,Nimo adalah cowok yang menjadi obsesi Rahmi sejak kecil hingga remaja. Ia pun bertekad untuk mendekati Nimo kakak kelasnya sewaktu di SMA hingga di perguruan tinggi. Namun upaya Rahmi tidak pernah berhasil. Ia pun menyerah. Lalu ia pun realistis dan memutuskan bahwa Nimo hanyalah masa lalu dan tinggal impian. Rahmi pun akhirnya menerima Raka sebagai pengisi hatinya. Hubungan pun menjadi sangat serius. Namun persoalan dengan Nimo muncul kembali. Tepat di saat Rahmi dan keluarganya tengah sibuk membicarakan acara lamaran Rahmi dengan Raka Nimo hadir di antara mereka. Yang membuat Rahmi terkejut berdebar dan berbunga-bunga Nimo mengajak Rahmi“membina hubungan lebih dari sekadar persahabatan. Ternyata selama ini Nimo pun memendam rasa cinta terhadap Rahmi. Rahmi berada dalam dilema. Membatalkan rencana pernikahannya dengan Raka rasanya sulit. Dicintai Nimo adalah obsesi dambaan yang selama ini terpendam lalu tiba-tiba muncul menjadi kenyataan. Mampukah Rahmi memilih?,Komedi
